iter	Passed	Remaining
0	1	99
1	1	90
2	2	81
3	3	75
4	3	74
5	4	74
6	5	72
7	6	74
8	8	84
9	9	83
10	9	80
11	10	78
12	11	76
13	12	75
14	12	73
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	67
21	18	66
22	19	65
23	20	63
24	20	62
25	21	61
26	24	65
27	25	64
28	25	63
29	26	62
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	30	55
36	33	57
37	34	56
38	35	55
39	36	55
40	38	55
41	38	53
42	39	52
43	41	52
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	41
56	53	40
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	25
71	64	24
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	75	14
84	77	13
85	78	12
86	78	11
87	81	11
88	82	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	89	4
95	91	3
96	92	2
97	96	1
98	97	0
99	98	0
